,job,education,contact
2882,blue-collar,secondary,unknown
2883,self-employed,tertiary,telephone
2884,admin.,secondary,unknown
2885,services,secondary,cellular
2886,blue-collar,primary,unknown
2887,technician,tertiary,cellular
2888,technician,secondary,cellular
2889,unemployed,primary,cellular
2890,services,secondary,unknown
2891,management,tertiary,cellular
2892,services,secondary,unknown
2893,admin.,secondary,unknown
2894,management,tertiary,cellular
2895,admin.,secondary,unknown
2896,retired,primary,cellular
2897,blue-collar,secondary,cellular
2898,technician,secondary,unknown
2899,blue-collar,secondary,cellular
2900,management,tertiary,cellular
2901,services,tertiary,unknown
2902,student,secondary,cellular
2903,management,tertiary,unknown
2904,management,tertiary,cellular
2905,technician,secondary,cellular
2906,management,tertiary,cellular
2907,technician,tertiary,cellular
2908,technician,secondary,telephone
2909,admin.,secondary,cellular
2910,services,secondary,telephone
2911,housemaid,secondary,unknown
2912,technician,tertiary,cellular
2913,retired,secondary,cellular
2914,blue-collar,primary,cellular
2915,retired,primary,cellular
2916,admin.,secondary,cellular
2917,technician,tertiary,cellular
2918,admin.,tertiary,cellular
2919,management,tertiary,cellular
2920,blue-collar,secondary,unknown
2921,management,secondary,unknown
2922,admin.,tertiary,cellular
2923,admin.,secondary,cellular
2924,blue-collar,secondary,cellular
2925,blue-collar,primary,unknown
2926,blue-collar,tertiary,cellular
2927,blue-collar,secondary,unknown
2928,technician,tertiary,cellular
2929,management,tertiary,cellular
2930,blue-collar,primary,unknown
2931,retired,primary,cellular
2932,management,tertiary,cellular
2933,services,primary,unknown
2934,services,unknown,cellular
2935,services,secondary,unknown
2936,unemployed,secondary,cellular
2937,services,secondary,unknown
2938,technician,secondary,cellular
2939,blue-collar,secondary,unknown
2940,technician,secondary,cellular
2941,admin.,secondary,cellular
2942,technician,tertiary,cellular
2943,blue-collar,secondary,unknown
2944,management,tertiary,cellular
2945,student,tertiary,cellular
2946,admin.,secondary,cellular
2947,self-employed,tertiary,unknown
2948,management,secondary,cellular
2949,blue-collar,primary,cellular
2950,entrepreneur,tertiary,unknown
2951,technician,secondary,cellular
2952,admin.,secondary,unknown
2953,student,tertiary,cellular
2954,services,secondary,unknown
2955,technician,secondary,cellular
2956,management,tertiary,cellular
2957,housemaid,primary,unknown
2958,services,tertiary,unknown
2959,services,secondary,cellular
2960,blue-collar,secondary,telephone
2961,blue-collar,secondary,cellular
2962,retired,tertiary,cellular
2963,management,tertiary,cellular
2964,blue-collar,primary,cellular
2965,blue-collar,primary,unknown
2966,management,tertiary,unknown
2967,blue-collar,primary,unknown
2968,blue-collar,secondary,cellular
2969,technician,tertiary,cellular
2970,management,tertiary,cellular
2971,blue-collar,secondary,cellular
2972,admin.,secondary,unknown
2973,admin.,secondary,unknown
2974,management,tertiary,cellular
2975,technician,tertiary,cellular
2976,blue-collar,secondary,unknown
2977,entrepreneur,tertiary,cellular
2978,management,tertiary,cellular
2979,technician,secondary,unknown
2980,retired,secondary,unknown
2981,blue-collar,secondary,cellular
2982,technician,tertiary,unknown
2983,retired,secondary,telephone
2984,admin.,tertiary,cellular
2985,technician,secondary,cellular
2986,management,tertiary,cellular
2987,services,secondary,cellular
2988,entrepreneur,secondary,cellular
2989,entrepreneur,tertiary,cellular
2990,blue-collar,primary,cellular
2991,management,tertiary,cellular
2992,housemaid,secondary,cellular
2993,blue-collar,secondary,unknown
2994,management,tertiary,unknown
2995,technician,secondary,unknown
2996,self-employed,secondary,unknown
2997,technician,secondary,unknown
2998,management,tertiary,cellular
2999,management,tertiary,cellular
3000,admin.,secondary,telephone
3001,management,secondary,unknown
3002,services,secondary,cellular
3003,management,tertiary,cellular
3004,admin.,secondary,cellular
3005,admin.,secondary,cellular
3006,self-employed,unknown,cellular
3007,blue-collar,secondary,cellular
3008,management,unknown,cellular
3009,blue-collar,primary,telephone
3010,technician,tertiary,unknown
3011,services,secondary,cellular
3012,services,secondary,cellular
3013,technician,tertiary,cellular
3014,technician,secondary,cellular
3015,management,tertiary,cellular
3016,technician,secondary,unknown
3017,blue-collar,primary,cellular
3018,self-employed,secondary,unknown
3019,technician,secondary,cellular
3020,services,secondary,cellular
3021,blue-collar,primary,cellular
3022,blue-collar,secondary,cellular
3023,blue-collar,tertiary,cellular
3024,management,tertiary,cellular
3025,management,tertiary,telephone
3026,management,tertiary,unknown
3027,management,tertiary,cellular
3028,admin.,secondary,unknown
3029,blue-collar,primary,unknown
3030,blue-collar,secondary,cellular
3031,management,tertiary,cellular
3032,technician,secondary,unknown
3033,technician,secondary,cellular
3034,services,primary,unknown
3035,unemployed,tertiary,cellular
3036,retired,primary,cellular
3037,technician,secondary,unknown
3038,services,secondary,unknown
3039,retired,primary,cellular
3040,admin.,secondary,cellular
3041,admin.,secondary,cellular
3042,housemaid,tertiary,cellular
3043,blue-collar,primary,telephone
3044,entrepreneur,unknown,cellular
3045,technician,tertiary,cellular
3046,blue-collar,primary,cellular
3047,management,secondary,cellular
3048,services,secondary,cellular
3049,student,tertiary,cellular
3050,technician,unknown,cellular
3051,management,tertiary,cellular
3052,housemaid,secondary,cellular
3053,blue-collar,primary,unknown
3054,services,secondary,cellular
3055,services,secondary,cellular
3056,services,secondary,unknown
3057,technician,tertiary,unknown
3058,technician,secondary,cellular
3059,housemaid,primary,cellular
3060,admin.,secondary,cellular
3061,retired,secondary,cellular
3062,entrepreneur,tertiary,cellular
3063,blue-collar,secondary,cellular
3064,management,tertiary,cellular
3065,services,secondary,cellular
3066,blue-collar,secondary,cellular
3067,management,tertiary,unknown
3068,self-employed,tertiary,unknown
3069,blue-collar,primary,cellular
3070,technician,unknown,unknown
3071,technician,secondary,cellular
3072,management,tertiary,cellular
3073,retired,tertiary,cellular
3074,entrepreneur,tertiary,cellular
3075,blue-collar,secondary,cellular
3076,blue-collar,primary,cellular
3077,entrepreneur,secondary,cellular
3078,blue-collar,secondary,cellular
3079,technician,secondary,unknown
3080,services,secondary,cellular
3081,technician,secondary,cellular
3082,blue-collar,primary,cellular
3083,unemployed,primary,cellular
3084,blue-collar,secondary,unknown
3085,self-employed,secondary,cellular
3086,blue-collar,secondary,unknown
3087,management,tertiary,cellular
3088,technician,secondary,cellular
3089,blue-collar,secondary,cellular
3090,management,tertiary,cellular
3091,blue-collar,secondary,unknown
3092,management,tertiary,cellular
3093,entrepreneur,tertiary,cellular
3094,retired,secondary,cellular
3095,services,secondary,telephone
3096,technician,secondary,unknown
3097,services,primary,unknown
3098,blue-collar,primary,telephone
3099,technician,secondary,unknown
3100,retired,primary,telephone
3101,blue-collar,primary,unknown
3102,retired,secondary,unknown
3103,admin.,secondary,unknown
3104,admin.,secondary,cellular
3105,services,secondary,cellular
3106,services,secondary,cellular
3107,services,secondary,telephone
3108,blue-collar,primary,unknown
3109,management,tertiary,cellular
3110,technician,secondary,unknown
3111,management,secondary,cellular
3112,management,secondary,unknown
3113,admin.,secondary,unknown
3114,services,secondary,cellular
3115,self-employed,tertiary,cellular
3116,self-employed,secondary,unknown
3117,blue-collar,secondary,cellular
3118,services,secondary,unknown
3119,technician,secondary,cellular
3120,technician,primary,unknown
3121,management,tertiary,cellular
3122,blue-collar,primary,unknown
3123,services,secondary,cellular
3124,management,tertiary,unknown
3125,admin.,primary,unknown
3126,blue-collar,primary,unknown
3127,technician,secondary,cellular
3128,blue-collar,primary,telephone
3129,blue-collar,unknown,cellular
3130,unemployed,secondary,unknown
3131,housemaid,secondary,cellular
3132,self-employed,tertiary,cellular
3133,blue-collar,primary,unknown
3134,self-employed,secondary,unknown
3135,management,tertiary,cellular
3136,blue-collar,primary,unknown
3137,blue-collar,secondary,cellular
3138,management,tertiary,cellular
3139,technician,secondary,cellular
3140,retired,primary,unknown
3141,admin.,secondary,cellular
3142,blue-collar,primary,telephone
3143,blue-collar,secondary,unknown
3144,management,tertiary,cellular
3145,technician,secondary,cellular
3146,housemaid,tertiary,cellular
3147,unemployed,secondary,unknown
3148,admin.,secondary,cellular
3149,services,secondary,unknown
3150,technician,secondary,cellular
3151,entrepreneur,secondary,unknown
3152,housemaid,primary,cellular
3153,blue-collar,primary,unknown
3154,management,secondary,cellular
3155,technician,tertiary,cellular
3156,admin.,secondary,cellular
3157,blue-collar,secondary,cellular
3158,admin.,secondary,telephone
3159,admin.,secondary,cellular
3160,management,tertiary,cellular
3161,technician,secondary,cellular
3162,admin.,secondary,cellular
3163,technician,secondary,cellular
3164,technician,secondary,cellular
3165,management,tertiary,cellular
3166,blue-collar,primary,telephone
3167,entrepreneur,secondary,cellular
3168,admin.,secondary,cellular
3169,services,secondary,unknown
3170,blue-collar,secondary,unknown
3171,blue-collar,primary,cellular
3172,management,tertiary,telephone
3173,technician,tertiary,cellular
3174,blue-collar,secondary,telephone
3175,admin.,secondary,unknown
3176,admin.,secondary,telephone
3177,management,tertiary,cellular
3178,admin.,secondary,cellular
3179,technician,primary,unknown
3180,services,secondary,unknown
3181,blue-collar,secondary,cellular
3182,blue-collar,secondary,unknown
3183,services,secondary,unknown
3184,management,tertiary,cellular
3185,admin.,secondary,cellular
3186,management,tertiary,cellular
3187,retired,secondary,cellular
3188,admin.,tertiary,unknown
3189,blue-collar,primary,unknown
3190,services,secondary,cellular
3191,blue-collar,secondary,unknown
3192,technician,tertiary,cellular
3193,retired,primary,cellular
3194,management,unknown,cellular
3195,services,primary,telephone
3196,self-employed,tertiary,unknown
3197,student,secondary,telephone
3198,management,tertiary,cellular
3199,housemaid,tertiary,cellular
3200,student,unknown,unknown
3201,retired,secondary,cellular
3202,retired,primary,telephone
3203,blue-collar,secondary,unknown
3204,services,primary,cellular
3205,retired,primary,telephone
3206,housemaid,primary,telephone
3207,management,tertiary,cellular
3208,blue-collar,primary,unknown
3209,services,secondary,cellular
3210,management,secondary,cellular
3211,technician,secondary,telephone
3212,technician,tertiary,telephone
3213,admin.,secondary,telephone
3214,blue-collar,primary,unknown
3215,technician,secondary,cellular
3216,blue-collar,secondary,unknown
3217,technician,secondary,cellular
3218,entrepreneur,secondary,telephone
3219,retired,primary,cellular
3220,blue-collar,secondary,cellular
3221,technician,secondary,cellular
3222,blue-collar,secondary,cellular
3223,management,tertiary,unknown
3224,management,tertiary,cellular
3225,unemployed,secondary,cellular
3226,management,tertiary,cellular
3227,management,tertiary,cellular
3228,management,tertiary,cellular
3229,management,primary,cellular
3230,blue-collar,secondary,unknown
3231,admin.,secondary,cellular
3232,management,tertiary,cellular
3233,student,unknown,cellular
3234,management,tertiary,cellular
3235,blue-collar,secondary,cellular
3236,blue-collar,primary,cellular
3237,entrepreneur,primary,cellular
3238,admin.,secondary,cellular
3239,blue-collar,secondary,cellular
3240,technician,secondary,telephone
3241,technician,secondary,unknown
3242,technician,secondary,cellular
3243,management,tertiary,cellular
3244,management,unknown,cellular
3245,admin.,tertiary,unknown
3246,blue-collar,secondary,unknown
3247,blue-collar,primary,cellular
3248,retired,secondary,unknown
3249,housemaid,primary,telephone
3250,technician,tertiary,cellular
3251,blue-collar,secondary,telephone
3252,management,tertiary,cellular
3253,blue-collar,unknown,unknown
3254,admin.,secondary,unknown
3255,blue-collar,primary,telephone
3256,management,tertiary,cellular
3257,admin.,secondary,unknown
3258,services,secondary,telephone
3259,management,secondary,unknown
3260,admin.,primary,cellular
3261,blue-collar,primary,cellular
3262,blue-collar,secondary,unknown
3263,management,tertiary,cellular
3264,management,tertiary,cellular
3265,retired,secondary,cellular
3266,blue-collar,secondary,cellular
3267,management,secondary,unknown
3268,blue-collar,secondary,cellular
3269,blue-collar,secondary,unknown
3270,blue-collar,secondary,cellular
3271,blue-collar,secondary,unknown
3272,services,secondary,cellular
3273,blue-collar,tertiary,cellular
3274,management,tertiary,unknown
3275,management,tertiary,cellular
3276,entrepreneur,tertiary,cellular
3277,management,secondary,unknown
3278,entrepreneur,primary,telephone
3279,blue-collar,tertiary,unknown
3280,blue-collar,unknown,unknown
3281,technician,secondary,cellular
3282,admin.,secondary,cellular
3283,blue-collar,primary,unknown
3284,admin.,secondary,telephone
3285,management,tertiary,cellular
3286,blue-collar,primary,unknown
3287,admin.,secondary,cellular
3288,unemployed,secondary,telephone
3289,management,tertiary,telephone
3290,retired,primary,cellular
3291,technician,tertiary,cellular
3292,technician,tertiary,cellular
3293,management,primary,cellular
3294,management,tertiary,cellular
3295,technician,secondary,cellular
3296,blue-collar,secondary,unknown
3297,self-employed,tertiary,cellular
3298,technician,tertiary,cellular
3299,management,tertiary,cellular
3300,technician,tertiary,unknown
3301,services,tertiary,cellular
3302,management,tertiary,cellular
3303,services,secondary,cellular
3304,retired,tertiary,cellular
3305,blue-collar,secondary,cellular
3306,admin.,secondary,unknown
3307,student,secondary,unknown
3308,management,secondary,unknown
3309,technician,secondary,cellular
3310,technician,tertiary,unknown
3311,retired,primary,cellular
3312,management,secondary,cellular
3313,services,primary,unknown
3314,self-employed,tertiary,cellular
3315,admin.,tertiary,cellular
3316,admin.,secondary,cellular
3317,management,tertiary,cellular
3318,retired,secondary,telephone
3319,student,secondary,unknown
3320,management,secondary,cellular
3321,blue-collar,primary,cellular
3322,blue-collar,secondary,unknown
3323,management,tertiary,cellular
3324,management,tertiary,unknown
3325,blue-collar,secondary,unknown
3326,blue-collar,primary,unknown
3327,management,primary,cellular
3328,management,tertiary,cellular
3329,management,tertiary,cellular
3330,blue-collar,secondary,cellular
3331,management,unknown,cellular
3332,management,tertiary,cellular
3333,admin.,secondary,telephone
3334,unemployed,primary,cellular
3335,blue-collar,secondary,cellular
3336,self-employed,secondary,unknown
3337,blue-collar,primary,unknown
3338,management,secondary,unknown
3339,blue-collar,secondary,unknown
3340,entrepreneur,primary,unknown
3341,admin.,secondary,cellular
3342,unemployed,secondary,unknown
3343,services,secondary,cellular
3344,blue-collar,primary,cellular
3345,technician,secondary,unknown
3346,admin.,secondary,cellular
3347,management,tertiary,cellular
3348,blue-collar,secondary,cellular
3349,management,tertiary,cellular
3350,admin.,secondary,cellular
3351,admin.,secondary,cellular
3352,management,tertiary,cellular
3353,management,tertiary,cellular
3354,management,secondary,cellular
3355,blue-collar,primary,unknown
3356,technician,secondary,cellular
3357,blue-collar,primary,unknown
3358,management,tertiary,cellular
3359,unemployed,secondary,unknown
3360,retired,primary,telephone
3361,technician,primary,cellular
3362,student,secondary,unknown
3363,blue-collar,secondary,unknown
3364,self-employed,secondary,unknown
3365,entrepreneur,secondary,cellular
3366,unknown,primary,cellular
3367,admin.,secondary,cellular
3368,services,secondary,cellular
3369,self-employed,secondary,unknown
3370,student,tertiary,cellular
3371,unemployed,tertiary,cellular
3372,management,tertiary,unknown
3373,admin.,tertiary,cellular
3374,blue-collar,secondary,cellular
3375,blue-collar,unknown,cellular
3376,blue-collar,secondary,cellular
3377,admin.,unknown,cellular
3378,unemployed,secondary,cellular
3379,admin.,unknown,cellular
3380,blue-collar,secondary,cellular
3381,admin.,secondary,unknown
3382,blue-collar,unknown,cellular
3383,blue-collar,secondary,cellular
3384,admin.,secondary,cellular
3385,unknown,tertiary,cellular
3386,blue-collar,secondary,unknown
3387,technician,tertiary,unknown
3388,services,secondary,cellular
3389,management,secondary,unknown
3390,entrepreneur,primary,cellular
3391,blue-collar,unknown,unknown
3392,services,secondary,telephone
3393,technician,tertiary,unknown
3394,services,secondary,cellular
3395,entrepreneur,secondary,unknown
3396,admin.,secondary,unknown
3397,admin.,secondary,unknown
3398,technician,secondary,cellular
3399,management,tertiary,unknown
3400,services,tertiary,cellular
3401,unemployed,tertiary,unknown
3402,management,tertiary,unknown
3403,management,tertiary,cellular
3404,self-employed,tertiary,cellular
3405,admin.,secondary,unknown
3406,admin.,secondary,cellular
3407,management,tertiary,cellular
3408,management,tertiary,telephone
3409,blue-collar,primary,unknown
3410,management,tertiary,cellular
3411,management,tertiary,cellular
3412,admin.,secondary,cellular
3413,self-employed,tertiary,cellular
3414,technician,secondary,cellular
3415,services,secondary,cellular
3416,management,tertiary,cellular
3417,services,tertiary,telephone
3418,blue-collar,secondary,unknown
3419,admin.,secondary,cellular
3420,management,tertiary,cellular
3421,housemaid,primary,cellular
3422,self-employed,tertiary,unknown
3423,blue-collar,primary,cellular
3424,technician,secondary,cellular
3425,management,tertiary,cellular
3426,self-employed,primary,cellular
3427,entrepreneur,secondary,cellular
3428,self-employed,tertiary,cellular
3429,blue-collar,primary,cellular
3430,technician,tertiary,cellular
3431,student,secondary,cellular
3432,blue-collar,secondary,unknown
3433,management,secondary,cellular
3434,management,tertiary,cellular
3435,technician,secondary,unknown
3436,blue-collar,secondary,cellular
3437,services,secondary,cellular
3438,blue-collar,unknown,unknown
3439,admin.,secondary,cellular
3440,services,secondary,cellular
3441,admin.,secondary,cellular
3442,unemployed,primary,unknown
3443,blue-collar,secondary,cellular
3444,technician,secondary,unknown
3445,technician,secondary,unknown
3446,services,secondary,cellular
3447,management,tertiary,unknown
3448,retired,secondary,cellular
3449,unemployed,secondary,cellular
3450,blue-collar,primary,unknown
3451,management,primary,unknown
3452,admin.,secondary,cellular
3453,technician,secondary,unknown
3454,admin.,secondary,unknown
3455,technician,secondary,unknown
3456,self-employed,secondary,cellular
3457,management,tertiary,unknown
3458,retired,secondary,cellular
3459,services,primary,cellular
3460,services,secondary,unknown
3461,technician,secondary,cellular
3462,blue-collar,secondary,telephone
3463,admin.,secondary,cellular
3464,self-employed,secondary,cellular
3465,blue-collar,secondary,unknown
3466,admin.,secondary,cellular
3467,management,tertiary,unknown
3468,blue-collar,secondary,unknown
3469,blue-collar,primary,cellular
3470,technician,secondary,unknown
3471,blue-collar,primary,cellular
3472,technician,secondary,unknown
3473,management,tertiary,telephone
3474,admin.,secondary,unknown
3475,technician,secondary,cellular
3476,blue-collar,secondary,unknown
3477,technician,unknown,cellular
3478,management,primary,unknown
3479,technician,tertiary,unknown
3480,services,secondary,unknown
3481,unemployed,secondary,cellular
3482,retired,secondary,cellular
3483,management,tertiary,telephone
3484,management,secondary,cellular
3485,entrepreneur,tertiary,cellular
3486,retired,primary,telephone
3487,entrepreneur,unknown,telephone
3488,self-employed,tertiary,cellular
3489,blue-collar,secondary,unknown
3490,management,tertiary,cellular
3491,management,tertiary,telephone
3492,blue-collar,secondary,unknown
3493,management,tertiary,cellular
3494,blue-collar,primary,cellular
3495,retired,primary,telephone
3496,management,tertiary,cellular
3497,admin.,secondary,unknown
3498,services,secondary,cellular
3499,self-employed,tertiary,cellular
3500,technician,secondary,cellular
3501,management,tertiary,cellular
3502,management,tertiary,cellular
3503,services,secondary,cellular
3504,management,tertiary,cellular
3505,technician,tertiary,unknown
3506,management,tertiary,cellular
3507,blue-collar,secondary,unknown
3508,housemaid,secondary,unknown
3509,technician,secondary,cellular
3510,technician,secondary,cellular
3511,management,tertiary,cellular
3512,management,tertiary,cellular
3513,housemaid,unknown,telephone
3514,unemployed,secondary,unknown
3515,management,tertiary,cellular
3516,housemaid,primary,unknown
3517,technician,tertiary,cellular
3518,self-employed,secondary,cellular
3519,technician,secondary,telephone
3520,management,tertiary,cellular
3521,management,tertiary,unknown
3522,technician,secondary,cellular
3523,technician,secondary,cellular
3524,services,secondary,cellular
3525,admin.,secondary,cellular
3526,technician,secondary,cellular
3527,services,secondary,cellular
3528,management,tertiary,cellular
3529,unknown,tertiary,cellular
3530,management,tertiary,cellular
3531,management,tertiary,cellular
3532,services,secondary,unknown
3533,blue-collar,secondary,cellular
3534,admin.,secondary,cellular
3535,blue-collar,primary,telephone
3536,blue-collar,unknown,unknown
3537,admin.,secondary,unknown
3538,unemployed,tertiary,cellular
3539,admin.,secondary,cellular
3540,retired,primary,telephone
3541,entrepreneur,tertiary,cellular
3542,services,secondary,unknown
3543,technician,secondary,cellular
3544,unemployed,primary,cellular
3545,retired,secondary,unknown
3546,management,tertiary,cellular
3547,blue-collar,secondary,unknown
3548,admin.,secondary,cellular
3549,blue-collar,primary,telephone
3550,housemaid,primary,unknown
3551,management,secondary,unknown
3552,retired,secondary,cellular
3553,retired,secondary,cellular
3554,technician,secondary,unknown
3555,blue-collar,secondary,unknown
3556,technician,tertiary,cellular
3557,retired,tertiary,unknown
3558,self-employed,tertiary,cellular
3559,admin.,secondary,cellular
3560,blue-collar,secondary,cellular
3561,technician,tertiary,telephone
3562,technician,tertiary,cellular
3563,blue-collar,primary,cellular
3564,technician,tertiary,cellular
3565,services,secondary,unknown
3566,services,secondary,cellular
3567,blue-collar,unknown,cellular
3568,admin.,secondary,unknown
3569,management,tertiary,cellular
3570,technician,tertiary,unknown
3571,admin.,secondary,cellular
3572,technician,secondary,cellular
3573,blue-collar,primary,cellular
3574,housemaid,tertiary,cellular
3575,self-employed,primary,unknown
3576,management,tertiary,cellular
3577,management,tertiary,cellular
3578,technician,secondary,unknown
3579,management,tertiary,cellular
3580,entrepreneur,tertiary,unknown
3581,self-employed,tertiary,unknown
3582,management,tertiary,unknown
3583,management,tertiary,unknown
3584,blue-collar,secondary,telephone
3585,entrepreneur,secondary,unknown
3586,blue-collar,secondary,cellular
3587,management,tertiary,cellular
3588,technician,secondary,cellular
3589,management,unknown,cellular
3590,unemployed,tertiary,unknown
3591,technician,secondary,cellular
3592,services,secondary,unknown
3593,blue-collar,primary,cellular
3594,services,secondary,unknown
3595,blue-collar,secondary,unknown
3596,admin.,secondary,cellular
3597,housemaid,primary,unknown
3598,admin.,secondary,cellular
3599,blue-collar,primary,unknown
3600,technician,secondary,cellular
3601,blue-collar,secondary,unknown
3602,technician,secondary,unknown
3603,blue-collar,secondary,cellular
3604,technician,tertiary,cellular
3605,management,tertiary,cellular
3606,services,secondary,unknown
3607,retired,secondary,telephone
3608,management,tertiary,unknown
3609,management,tertiary,unknown
3610,technician,secondary,unknown
3611,technician,secondary,cellular
3612,management,tertiary,cellular
3613,technician,secondary,unknown
3614,retired,tertiary,cellular
3615,admin.,secondary,cellular
3616,management,tertiary,cellular
3617,blue-collar,secondary,cellular
3618,admin.,secondary,cellular
3619,technician,primary,unknown
3620,retired,secondary,cellular
3621,management,tertiary,unknown
3622,technician,tertiary,cellular
3623,blue-collar,primary,cellular
3624,self-employed,tertiary,cellular
3625,blue-collar,secondary,cellular
3626,technician,secondary,cellular
3627,services,secondary,cellular
3628,services,secondary,telephone
3629,blue-collar,secondary,cellular
3630,technician,unknown,unknown
3631,retired,secondary,telephone
3632,student,unknown,telephone
3633,technician,tertiary,cellular
3634,retired,secondary,unknown
3635,management,tertiary,cellular
3636,management,tertiary,cellular
3637,retired,secondary,unknown
3638,technician,secondary,unknown
3639,management,tertiary,cellular
3640,blue-collar,primary,cellular
3641,student,secondary,cellular
3642,management,tertiary,cellular
3643,admin.,unknown,telephone
3644,admin.,secondary,cellular
3645,blue-collar,primary,cellular
3646,blue-collar,secondary,cellular
3647,management,secondary,cellular
3648,technician,secondary,cellular
3649,management,tertiary,cellular
3650,self-employed,secondary,cellular
3651,retired,tertiary,cellular
3652,admin.,secondary,unknown
3653,services,secondary,cellular
3654,management,tertiary,cellular
3655,management,tertiary,cellular
3656,student,unknown,cellular
3657,admin.,secondary,telephone
3658,services,secondary,telephone
3659,technician,secondary,telephone
3660,management,secondary,unknown
3661,technician,secondary,cellular
3662,blue-collar,secondary,unknown
3663,blue-collar,secondary,unknown
3664,technician,secondary,cellular
3665,services,secondary,cellular
3666,services,secondary,cellular
3667,management,tertiary,cellular
3668,technician,secondary,cellular
3669,admin.,secondary,cellular
3670,blue-collar,primary,unknown
3671,blue-collar,secondary,unknown
3672,blue-collar,secondary,cellular
3673,entrepreneur,tertiary,unknown
3674,management,tertiary,cellular
3675,management,tertiary,cellular
3676,services,secondary,cellular
3677,entrepreneur,secondary,unknown
3678,management,secondary,cellular
3679,services,secondary,cellular
3680,unemployed,secondary,cellular
3681,blue-collar,secondary,unknown
3682,management,tertiary,cellular
3683,blue-collar,secondary,cellular
3684,admin.,tertiary,cellular
3685,management,tertiary,unknown
3686,admin.,secondary,unknown
3687,blue-collar,secondary,cellular
3688,unemployed,secondary,unknown
3689,technician,tertiary,cellular
3690,housemaid,primary,cellular
3691,management,tertiary,cellular
3692,blue-collar,primary,unknown
3693,self-employed,tertiary,cellular
3694,management,secondary,cellular
3695,management,tertiary,cellular
3696,services,secondary,unknown
3697,admin.,primary,cellular
3698,blue-collar,primary,unknown
3699,blue-collar,secondary,cellular
3700,retired,primary,cellular
3701,management,tertiary,cellular
3702,blue-collar,secondary,cellular
3703,blue-collar,primary,cellular
3704,blue-collar,secondary,cellular
3705,management,tertiary,cellular
3706,admin.,primary,unknown
3707,technician,secondary,unknown
3708,management,tertiary,cellular
3709,entrepreneur,secondary,cellular
3710,self-employed,tertiary,cellular
3711,blue-collar,secondary,unknown
3712,blue-collar,primary,unknown
3713,blue-collar,secondary,cellular
3714,management,tertiary,cellular
3715,admin.,secondary,unknown
3716,retired,secondary,unknown
3717,management,tertiary,telephone
3718,services,unknown,unknown
3719,management,tertiary,cellular
3720,management,secondary,cellular
3721,admin.,secondary,unknown
3722,self-employed,secondary,unknown
3723,services,secondary,cellular
3724,housemaid,secondary,cellular
3725,unemployed,primary,unknown
3726,technician,unknown,unknown
3727,technician,secondary,cellular
3728,technician,secondary,cellular
3729,entrepreneur,primary,cellular
3730,technician,secondary,unknown
3731,retired,secondary,cellular
3732,blue-collar,secondary,cellular
3733,technician,tertiary,cellular
3734,services,secondary,cellular
3735,unemployed,tertiary,cellular
3736,technician,tertiary,cellular
3737,retired,secondary,cellular
3738,blue-collar,primary,cellular
3739,management,tertiary,unknown
3740,blue-collar,primary,cellular
3741,housemaid,primary,cellular
3742,self-employed,tertiary,cellular
3743,admin.,secondary,telephone
3744,admin.,secondary,cellular
3745,services,secondary,cellular
3746,management,tertiary,cellular
3747,blue-collar,secondary,cellular
3748,management,tertiary,cellular
3749,management,tertiary,cellular
3750,retired,unknown,telephone
3751,technician,secondary,cellular
3752,services,secondary,telephone
3753,blue-collar,secondary,cellular
3754,management,tertiary,cellular
3755,blue-collar,secondary,cellular
3756,services,secondary,cellular
3757,technician,tertiary,telephone
3758,blue-collar,secondary,unknown
3759,services,primary,unknown
3760,management,tertiary,unknown
3761,admin.,secondary,unknown
3762,technician,secondary,unknown
3763,blue-collar,secondary,cellular
3764,unemployed,secondary,cellular
3765,technician,secondary,cellular
3766,technician,secondary,cellular
3767,housemaid,secondary,cellular
3768,management,tertiary,unknown
3769,housemaid,primary,unknown
3770,management,tertiary,telephone
3771,management,tertiary,cellular
3772,management,tertiary,cellular
3773,technician,secondary,cellular
3774,blue-collar,secondary,unknown
3775,management,tertiary,cellular
3776,blue-collar,secondary,unknown
3777,blue-collar,secondary,unknown
3778,management,tertiary,cellular
3779,blue-collar,secondary,unknown
3780,management,tertiary,cellular
3781,management,primary,cellular
3782,blue-collar,secondary,cellular
3783,retired,secondary,cellular
3784,technician,secondary,unknown
3785,blue-collar,primary,unknown
3786,retired,secondary,telephone
3787,blue-collar,secondary,cellular
3788,self-employed,secondary,cellular
3789,management,tertiary,cellular
3790,blue-collar,primary,cellular
3791,services,secondary,cellular
3792,technician,secondary,unknown
3793,housemaid,primary,cellular
3794,unemployed,unknown,cellular
3795,services,secondary,unknown
3796,retired,primary,cellular
3797,technician,tertiary,cellular
3798,management,tertiary,cellular
3799,blue-collar,secondary,cellular
3800,technician,secondary,cellular
3801,technician,secondary,cellular
3802,admin.,tertiary,cellular
3803,student,secondary,cellular
3804,admin.,secondary,unknown
3805,entrepreneur,secondary,unknown
3806,retired,secondary,unknown
3807,admin.,primary,unknown
3808,technician,secondary,cellular
3809,blue-collar,secondary,unknown
3810,blue-collar,primary,unknown
3811,management,tertiary,unknown
3812,blue-collar,primary,unknown
3813,self-employed,secondary,telephone
3814,admin.,secondary,unknown
3815,management,tertiary,cellular
3816,admin.,secondary,cellular
3817,admin.,secondary,cellular
3818,services,secondary,cellular
3819,technician,secondary,cellular
3820,management,tertiary,cellular
